Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,ship_days,order_month,order_quarter,order_dayofweek,order_year,order_day,is_profitable,high_discount,is_standard_shipping
Same Day,Home Office,Los Angeles,California,90049,West,Office Supplies,Appliances,106.96,2,0.0,0,4,2,1,2014,15,1,0,0
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,9.96,2,0.0,4,12,4,4,2015,25,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,33.36,4,0.0,7,3,1,0,2015,23,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,892.35,5,0.0,7,8,3,4,2015,28,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Storage,728.82,9,0.0,7,8,3,4,2015,28,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Labels,2.88,1,0.0,4,7,3,2,2014,9,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Storage,23.92,4,0.0,4,7,3,2,2014,9,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Fasteners,5.94,3,0.0,4,7,3,4,2017,7,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Office Supplies,Paper,12.96,2,0.0,4,2,1,3,2014,20,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Labels,12.6,4,0.0,5,12,4,5,2015,5,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Appliances,168.1,5,0.0,7,7,3,1,2017,11,1,0,1
Second Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Appliances,61.44,3,0.0,4,9,3,1,2015,22,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Paper,32.4,5,0.0,5,11,4,0,2016,21,1,0,1
Same Day,Home Office,Los Angeles,California,90049,West,Office Supplies,Art,6.72,4,0.0,0,11,4,0,2014,3,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,93.02,2,0.0,5,2,1,3,2016,4,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Art,5.76,2,0.0,7,8,3,0,2016,22,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Art,34.24,8,0.0,5,11,4,1,2017,14,1,0,1
Second Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,4,1,1,5,2016,16,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,1265.85,3,0.0,5,12,4,5,2015,19,1,0,1
First Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,254.24,7,0.0,3,12,4,6,2016,25,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,251.91,9,0.0,4,10,4,4,2014,31,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,227.36,7,0.0,7,1,1,4,2015,30,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,18.7,1,0.0,5,11,4,6,2017,19,1,0,1
First Class,Home Office,Los Angeles,California,90049,West,Furniture,Furnishings,44.46,2,0.0,1,12,4,1,2014,16,1,0,0
First Class,Home Office,Los Angeles,California,90049,West,Technology,Accessories,395.0,5,0.0,1,12,4,1,2014,16,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,24.4,2,0.0,5,9,3,4,2015,18,1,0,1
Standard Class,Home Office,Los Angeles,California,90049,West,Technology,Accessories,107.97,3,0.0,4,11,4,4,2015,27,1,0,1
Second Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,36.4,5,0.0,5,12,4,4,2015,4,1,0,0
First Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,62.31,3,0.0,1,6,2,3,2017,29,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,19.3,2,0.0,5,1,1,0,2014,20,1,0,1
Second Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,435.84,12,0.0,2,10,4,3,2017,12,1,0,0
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,91.96,2,0.0,6,4,2,6,2014,6,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,33.11,7,0.0,6,4,2,6,2014,6,1,0,1
Second Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,159.56,4,0.0,3,5,2,1,2017,2,1,0,0
Same Day,Home Office,Los Angeles,California,90049,West,Furniture,Furnishings,187.76,4,0.0,0,4,2,1,2014,15,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,4.16,2,0.0,7,8,3,4,2015,28,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Furniture,Furnishings,148.02,3,0.0,6,8,3,1,2017,29,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,39.0,3,0.0,5,12,4,5,2015,5,1,0,1
Standard Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,1287.45,5,0.0,7,7,3,1,2017,11,1,0,1
Second Class,Home Office,Los Angeles,California,90049,West,Technology,Accessories,159.98,2,0.0,2,9,3,5,2017,30,1,0,0
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,119.94,3,0.0,4,11,4,3,2017,16,1,0,1
Standard Class,Consumer,Los Angeles,California,90049,West,Furniture,Furnishings,12.42,3,0.0,4,11,4,3,2017,16,1,0,1
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,1,5,2,2,2016,11,1,0,0
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Art,9.32,4,0.0,5,3,1,5,2017,4,1,0,1
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.25,1,0.0,5,3,1,5,2017,4,1,0,1
First Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Labels,29.6,2,0.0,3,6,2,5,2017,10,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,20.7,2,0.0,5,6,2,4,2016,10,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,32.4,5,0.0,5,6,2,4,2016,10,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,146.82,3,0.0,5,2,1,5,2016,13,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,204.6,2,0.0,4,9,3,0,2014,29,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,8.72,4,0.0,4,9,3,0,2014,29,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,4,9,3,0,2014,29,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,62.18,1,0.0,4,9,3,0,2014,29,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.28,2,0.0,5,11,4,0,2017,6,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,8.73,1,0.0,5,11,4,0,2017,6,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,5.68,2,0.0,5,11,4,0,2017,6,1,0,1
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,142.86,1,0.0,5,12,4,2,2014,24,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,9.94,2,0.0,7,11,4,3,2016,24,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0.0,4,10,4,5,2017,7,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,11.96,2,0.0,4,11,4,2,2014,12,1,0,1
Standard Class,Corporate,Los Angeles,California,90045,West,Technology,Accessories,479.94,6,0.0,6,3,1,3,2017,2,1,0,1
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,323.1,2,0.0,4,8,3,5,2015,15,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Appliances,105.96,4,0.0,5,8,3,1,2015,25,1,0,1
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,114.46,2,0.0,2,1,1,6,2016,3,1,0,0
Second Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,2,7,3,4,2014,25,1,0,0
Second Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Supplies,15.52,4,0.0,2,7,3,4,2014,25,1,0,0
First Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Paper,204.95,5,0.0,2,10,4,6,2017,15,1,0,0
Standard Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,1085.42,7,0.0,4,10,4,0,2016,31,1,0,1
Second Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Storage,270.34,14,0.0,5,10,4,4,2015,2,1,0,0
First Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Art,12.84,3,0.0,1,2,1,6,2017,19,1,0,0
First Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,44.67,3,0.0,1,2,1,6,2017,19,1,0,0
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,48.94,1,0.0,2,7,3,3,2016,7,1,0,0
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,46.35,5,0.0,2,6,2,3,2016,16,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,19.44,3,0.0,7,11,4,1,2014,4,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,20.96,2,0.0,6,6,2,3,2015,25,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,304.23,3,0.0,6,6,2,3,2015,25,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Appliances,361.96,2,0.0,5,12,4,2,2014,24,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Technology,Accessories,62.85,3,0.0,5,12,4,2,2014,24,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Storage,20.34,1,0.0,5,12,4,2,2014,24,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,23.99,1,0.0,5,12,4,2,2014,24,1,0,1
Second Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Art,8.26,2,0.0,2,8,3,4,2016,26,1,0,0
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,123.92,4,0.0,2,4,2,3,2017,27,1,0,0
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,12.39,3,0.0,2,4,2,3,2017,27,1,0,0
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,47.3,2,0.0,2,4,2,3,2017,27,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,18.84,3,0.0,5,11,4,0,2017,27,1,0,1
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,56.7,5,0.0,4,1,1,6,2016,31,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,86.26,2,0.0,5,2,1,3,2017,2,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,139.04,4,0.0,5,2,1,3,2017,2,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Appliances,46.8,4,0.0,5,2,1,3,2017,2,1,0,1
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,725.84,4,0.0,2,3,1,1,2017,21,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,15.54,3,0.0,4,8,3,6,2016,14,1,0,1
Second Class,Corporate,Los Angeles,California,90045,West,Technology,Accessories,109.53,3,0.0,3,2,1,5,2017,18,1,0,0
Second Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Labels,9.82,2,0.0,3,2,1,5,2017,18,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,36.24,1,0.0,4,2,1,0,2016,22,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,10.65,3,0.0,4,2,1,0,2016,22,1,0,1
First Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,1649.95,5,0.0,3,12,4,5,2016,3,1,0,0
First Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,111.9,6,0.0,3,12,4,5,2016,3,1,0,0
Second Class,Corporate,Los Angeles,California,90045,West,Furniture,Furnishings,21.12,4,0.0,5,2,1,3,2017,9,1,0,0
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,56.7,9,0.0,4,9,3,3,2017,14,1,0,0
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,22.5,6,0.0,2,6,2,4,2016,17,1,0,0
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,219.84,4,0.0,2,6,2,4,2016,17,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,59.92,4,0.0,5,4,2,6,2014,20,1,0,1
Second Class,Corporate,Los Angeles,California,90045,West,Furniture,Furnishings,289.24,7,0.0,2,8,3,1,2014,19,1,0,0
First Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Storage,15.51,1,0.0,2,9,3,3,2017,21,1,0,0
Second Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,34.92,4,0.0,4,11,4,5,2017,11,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,26.46,9,0.0,5,12,4,4,2014,5,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,49.12,4,0.0,5,12,4,4,2014,5,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,15.0,3,0.0,5,12,4,4,2014,5,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,13.38,2,0.0,6,5,2,4,2016,27,1,0,1
First Class,Home Office,Los Angeles,California,90045,West,Technology,Accessories,26.85,3,0.0,3,3,1,3,2016,10,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,8.26,2,0.0,4,5,2,4,2015,22,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,104.79,7,0.0,4,5,2,4,2015,22,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,204.95,5,0.0,5,6,2,4,2017,30,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,74.76,7,0.0,4,10,4,1,2015,20,1,0,1
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,58.32,9,0.0,3,7,3,6,2017,23,1,0,0
Second Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,50.0,2,0.0,5,12,4,0,2015,14,1,0,0
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,11.76,2,0.0,7,6,2,0,2015,1,1,0,1
Second Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,282.84,4,0.0,3,5,2,0,2016,16,1,0,0
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,27.72,9,0.0,3,5,2,0,2016,16,1,0,0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,37.17,9,0.0,4,11,4,5,2016,26,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Appliances,64.96,2,0.0,4,11,4,5,2016,26,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,595.38,6,0.0,4,11,4,5,2016,26,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,12.39,3,0.0,6,10,4,4,2016,21,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,19.96,2,0.0,6,10,4,4,2016,21,1,0,1
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,340.92,3,0.0,6,10,4,4,2016,21,1,0,1
Second Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,2,12,4,0,2015,14,1,0,0
Second Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,4,6,2,6,2016,12,1,0,0
Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,5,9,3,5,2016,17,1,0,1
Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,5,9,3,5,2016,17,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Technology,Accessories,166.24,1,0.0,5,3,1,5,2015,28,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,33.4,5,0.0,5,3,1,5,2015,28,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,79.92,4,0.0,5,12,4,0,2015,7,1,0,1
First Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Supplies,11.36,2,0.0,2,11,4,0,2016,7,1,0,0
First Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,2,11,4,0,2016,7,1,0,0
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,32.4,5,0.0,2,9,3,3,2015,17,1,0,0
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Appliances,81.92,4,0.0,2,2,1,6,2017,26,1,0,0
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,223.92,4,0.0,2,2,1,6,2017,26,1,0,0
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,23.12,4,0.0,2,2,1,6,2017,26,1,0,0
Standard Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Storage,249.75,9,0.0,4,7,3,5,2014,12,1,0,1
First Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,8.36,2,0.0,3,9,3,1,2017,12,1,0,0
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Labels,9.96,2,0.0,2,12,4,6,2015,13,1,0,0
First Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Fasteners,7.9,2,0.0,2,9,3,0,2015,21,1,0,0
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Appliances,10.89,1,0.0,5,11,4,5,2017,11,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,19.44,3,0.0,5,11,4,5,2017,11,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Art,4.26,1,0.0,5,6,2,3,2017,15,1,0,1
Standard Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Appliances,487.92,6,0.0,7,8,3,0,2016,8,1,0,1
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Storage,330.4,2,0.0,3,3,1,6,2014,23,1,0,0
Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Accessories,659.9,2,0.0,6,11,4,3,2016,24,1,0,1
Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Accessories,559.92,8,0.0,6,11,4,3,2016,24,1,0,1
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,17.34,3,0.0,5,5,2,0,2016,16,1,0,0
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,53.82,9,0.0,4,11,4,5,2014,22,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,474.43,11,0.0,4,1,1,6,2017,1,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,19.44,3,0.0,5,11,4,1,2015,24,1,0,1
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Storage,454.86,7,0.0,5,11,4,1,2015,24,1,0,1
Standard Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Storage,1575.14,7,0.0,6,10,4,0,2017,2,1,0,1
Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Accessories,66.3,3,0.0,4,3,1,2,2014,26,1,0,1
Standard Class,Corporate,Los Angeles,California,90036,West,Furniture,Furnishings,43.13,1,0.0,7,3,1,0,2015,16,1,0,1
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,67.71,3,0.0,3,11,4,3,2016,10,1,0,0
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Appliances,129.92,4,0.0,3,11,4,3,2016,10,1,0,0
Second Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,467.46,9,0.0,3,11,4,3,2016,10,1,0,0
