Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,ship_days,order_month,order_quarter,order_dayofweek,order_year,order_day,margin_potential
Second Class,Home Office,Los Angeles,California,90045,West,Furniture,Furnishings,34.92,4,0.0,11.8728,4,11,4,5,2017,11,34.92
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,26.46,9,0.0,11.907,5,12,4,4,2014,5,26.46
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,49.12,4,0.0,23.0864,5,12,4,4,2014,5,49.12
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Fasteners,15.0,3,0.0,7.2,5,12,4,4,2014,5,15.0
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,13.38,2,0.0,6.1548,6,5,2,4,2016,27,13.38
First Class,Home Office,Los Angeles,California,90045,West,Technology,Accessories,26.85,3,0.0,5.1015,3,3,1,3,2016,10,26.85
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,8.26,2,0.0,3.7996,4,5,2,4,2015,22,8.26
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,104.79,7,0.0,29.3412,4,5,2,4,2015,22,104.79
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,204.95,5,0.0,100.4255,5,6,2,4,2017,30,204.95
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,74.76,7,0.0,23.9232,4,10,4,1,2015,20,74.76
First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,58.32,9,0.0,27.9936,3,7,3,6,2017,23,58.32
Second Class,Consumer,Los Angeles,California,90045,West,Technology,Accessories,50.0,2,0.0,10.5,5,12,4,0,2015,14,50.0
Standard Class,Home Office,Los Angeles,California,90045,West,Office Supplies,Paper,11.76,2,0.0,5.7624,7,6,2,0,2015,1,11.76
Second Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,282.84,4,0.0,19.7988,3,5,2,0,2016,16,282.84
Second Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Labels,27.72,9,0.0,13.3056,3,5,2,0,2016,16,27.72
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,37.17,9,0.0,10.4076,4,11,4,5,2016,26,37.17
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Appliances,64.96,2,0.0,19.488,4,11,4,5,2016,26,64.96
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,595.38,6,0.0,297.69,4,11,4,5,2016,26,595.38
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Art,12.39,3,0.0,5.6994,6,10,4,4,2016,21,12.39
Standard Class,Consumer,Los Angeles,California,90045,West,Furniture,Furnishings,19.96,2,0.0,5.5888,6,10,4,4,2016,21,19.96
Standard Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Storage,340.92,3,0.0,3.4092,6,10,4,4,2016,21,340.92
Second Class,Corporate,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2,12,4,0,2015,14,6.48
Second Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,4,6,2,6,2016,12,14.62
Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,5,9,3,5,2016,17,20.1
Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,5,9,3,5,2016,17,6.48
Standard Class,Consumer,Los Angeles,California,90036,West,Technology,Accessories,166.24,1,0.0,24.936,5,3,1,5,2015,28,166.24
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,33.4,5,0.0,16.032,5,3,1,5,2015,28,33.4
Standard Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,79.92,4,0.0,28.7712,5,12,4,0,2015,7,79.92
First Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Supplies,11.36,2,0.0,3.2944,2,11,4,0,2016,7,11.36
First Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2,11,4,0,2016,7,14.62
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,32.4,5,0.0,15.552,2,9,3,3,2015,17,32.4
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Appliances,81.92,4,0.0,22.1184,2,2,1,6,2017,26,81.92
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,223.92,4,0.0,109.7208,2,2,1,6,2017,26,223.92
Second Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,23.12,4,0.0,11.3288,2,2,1,6,2017,26,23.12
Standard Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Storage,249.75,9,0.0,44.955,4,7,3,5,2014,12,249.75
First Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,8.36,2,0.0,3.0096,3,9,3,1,2017,12,8.36
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Labels,9.96,2,0.0,4.5816,2,12,4,6,2015,13,9.96
First Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Fasteners,7.9,2,0.0,2.528,2,9,3,0,2015,21,7.9
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Appliances,10.89,1,0.0,2.8314,5,11,4,5,2017,11,10.89
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,19.44,3,0.0,9.3312,5,11,4,5,2017,11,19.44
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Art,4.26,1,0.0,1.7466,5,6,2,3,2017,15,4.26
Standard Class,Home Office,Los Angeles,California,90036,West,Office Supplies,Appliances,487.92,6,0.0,136.6176,7,8,3,0,2016,8,487.92
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Storage,330.4,2,0.0,85.904,3,3,1,6,2014,23,330.4
Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Accessories,659.9,2,0.0,217.767,6,11,4,3,2016,24,659.9
Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Accessories,559.92,8,0.0,190.3728,6,11,4,3,2016,24,559.92
Second Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,17.34,3,0.0,8.4966,5,5,2,0,2016,16,17.34
Standard Class,Consumer,Los Angeles,California,90036,West,Office Supplies,Paper,53.82,9,0.0,24.219,4,11,4,5,2014,22,53.82
Standard Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,474.43,11,0.0,199.2606,4,1,1,6,2017,1,474.43
